ID,Burn-ID,Site,Lat,Long,Veg-type,OzCBI
1,ALB040,LFH1,-34.871168,118.245118,LF,1.37
2,ALB040,LFH2,-34.871739,118.244054,LF,1.41
3,ALB040,LFL1,-34.871702,118.245639,LF,0.91
4,ALB040,LFL2,-34.872047,118.244198,LF,1.07
5,ALB040,LFM1,-34.871621,118.24537,LF,1.24
6,ALB040,LFM2,-34.8722,118.243783,LF,0.95
7,ALB040,LFWH10,-34.878487,118.238691,LF,1.02
8,ALB040,LFWH2,-34.871035,118.248795,LF,1.16
9,ALB040,LFWH3,-34.87647,118.23218,LF,1.45
10,ALB040,LFWH4,-34.87896,118.22741,LF,1.25
11,ALB040,LFWH5,-34.88282,118.2249,LF,1.49
12,ALB040,LFWH6,-34.88823,118.22464,LF,1.27
13,ALB040,LFWH7,-34.89259,118.2247,LF,1.61
14,ALB040,LFWH8,-34.89782,118.222,LF,1.73
15,ALB040,LFWH9,-34.884758,118.236096,LF,1.41
16,ALB040,LFWL1,-34.873776,118.248125,LF,1.04
17,ALB040,LFWL10,-34.879378,118.237766,LF,1.21
18,ALB040,LFWL2,-34.871661,118.249131,LF,1.14
19,ALB040,LFWL3,-34.87679,118.23225,LF,0.98
20,ALB040,LFWL4,-34.87811,118.22579,LF,0.81
21,ALB040,LFWL5,-34.88297,118.22545,LF,0.95
22,ALB040,LFWL6,-34.88983,118.22386,LF,0.79
23,ALB040,LFWL7,-34.89318,118.22521,LF,1.15
24,ALB040,LFWL8,-34.89751,118.22269,LF,1.24
25,ALB040,LFWM1,-34.872444,118.249067,LF,1.24
26,ALB040,LFWM10,-34.878791,118.238377,LF,1.24
27,ALB040,LFWM2,-34.87145,118.249361,LF,0.92
28,ALB040,LFWM3,-34.87676,118.23196,LF,1.5
29,ALB040,LFWM4,-34.87787,118.22731,LF,1.07
30,ALB040,LFWM5,-34.88227,118.22473,LF,1.29
31,ALB040,LFWM6,-34.88894,118.22474,LF,1.29
32,ALB040,LFWM7,-34.89246,118.22418,LF,1.31
33,ALB040,LFWM8,-34.89721,118.22081,LF,1.7
34,ALB040,LFWM9,-34.884117,118.236592,LF,1.17
35,ALB040,LFWU8,-34.89732,118.22329,LF,0
36,ALB040,MTSH1,-34.89001,118.23225,LF,1.68
37,ALB040,MTSL1,-34.88871,118.23304,LF,1.39
38,ALB040,MTSM1,-34.88965,118.23289,LF,1.5
39,DON051,GExJ6,-34.12778,115.93475,SJ,1.66
40,DON051,GExJU11,-34.15953,115.95394,SJ,0
41,DON051,GExK10,-34.15976,115.95334,K,1.46
42,DON051,GExM1,-34.19825,115.90242,SJ,2.05
43,DON051,GExU,-34.15665,115.93497,SJ,0
44,DON051,GJEx12,-34.15733,115.95184,SJ,1.59
45,DON051,GJEx8,-34.16185,115.95126,SJ,1.16
46,DON051,GJEx9,-34.16286,115.95251,SJ,0.9
47,DON051,GJH1,-34.16484,115.95255,SJ,2.22
48,DON051,GJH3,-34.19813,115.90877,SJ,2.37
49,DON051,GJH4,-34.16712,115.88987,SJ,2.5
50,DON051,GJH9,-34.13959,115.97397,SJ,2.13
51,DON051,GJHa,-34.19765,115.89437,SJ,2.47
52,DON051,GJL1,-34.16708,115.951,SJ,1.33
53,DON051,GJL3,-34.20098,115.91468,SJ,1.3
54,DON051,GJL4,-34.17057,115.88876,SJ,2.02
55,DON051,GJL5,-34.1514,115.89487,SJ,1.05
56,DON051,GJL9,-34.13981,115.97298,SJ,1.27
57,DON051,GJLa,-34.19682,115.89602,SJ,1.24
58,DON051,GJM1,-34.1651,115.95291,SJ,2.01
59,DON051,GJM3,-34.19841,115.90673,SJ,1.85
60,DON051,GJM4,-34.16722,115.88858,SJ,1.45
61,DON051,GJM9,-34.14027,115.97369,SJ,1.47
62,DON051,GJMa,-34.19767,115.89772,SJ,1.54
63,DON051,GJU3,-34.20241,115.91361,SJ,0
64,DON051,GJU5,-34.15241,115.8957,SJ,0
65,DON051,GJUa,-34.19658,115.89659,SJ,0
66,DON051,GKEx13,-34.15532,115.93569,K,1.56
67,DON051,GKEx3,-34.17923,115.88704,K,1.37
68,DON051,GKEx4,-34.17511,115.88249,K,1.24
69,DON051,GKEx5,-34.1441,115.91212,K,2.08
70,DON051,GKH2,-34.16151,115.94623,K,2.55
71,DON051,GKH2a,-34.16337,115.942,K,2.53
72,DON051,GKH7,-34.12602,115.93813,K,2.02
73,DON051,GKH7b,-34.12425,115.93839,K,1.89
74,DON051,GKL10,-34.13135,115.98281,K,1.7
75,DON051,GKL10b,-34.1338,115.98083,K,2.01
76,DON051,GKLa,-34.19393,115.89804,K,1.18
77,DON051,GKLb,-34.19172,115.89947,K,1.15
78,DON051,GKM10,-34.1346,115.98065,K,1.97
79,DON051,GKM2,-34.16311,115.94367,K,2.18
80,DON051,GKM4,-34.14442,115.9096,K,1.7
81,DON051,GKM7,-34.12096,115.93917,K,1.95
82,DON051,GSH2,-34.19809,115.90484,H,1.98
83,DON051,GSH2b,-34.19682,115.89935,H,2.68
84,DON051,GSL2,-34.19849,115.90492,H,0.85
85,DON076,YJH1,-34.1981,116.25866,SJ,2.67
86,DON076,YJH10,-34.18093,116.29365,SJ,2.11
87,DON076,YJH2,-34.19752,116.26388,SJ,2.21
88,DON076,YJH3,-34.19593,116.27279,SJ,2.1
89,DON076,YJH4,-34.19724,116.28476,SJ,2.51
90,DON076,YJH5,-34.19745,116.29565,SJ,2.56
91,DON076,YJH6,-34.20741,116.29403,SJ,2.35
92,DON076,YJH7,-34.21852,116.2791,SJ,2.19
93,DON076,YJH8,-34.2065,116.26414,SJ,2.5
94,DON076,YJH9,-34.18948,116.23861,SJ,2.19
95,DON076,YJL10,-34.18055,116.29528,SJ,1.35
96,DON076,YJL2,-34.19463,116.26242,SJ,1.1
97,DON076,YJL3,-34.19274,116.27421,SJ,1.18
98,DON076,YJL4,-34.19837,116.28297,SJ,1.75
99,DON076,YJL5,-34.19958,116.29437,SJ,1.36
100,DON076,YJL6,-34.20825,116.29603,SJ,1.38
101,DON076,YJL7,-34.21749,116.28165,SJ,1.41
102,DON076,YJL8,-34.20677,116.26207,SJ,1.19
103,DON076,YJL9,-34.19061,116.23758,SJ,1.08
104,DON076,YJM1,-34.18629,116.25686,SJ,1.97
105,DON076,YJM10,-34.18107,116.2947,SJ,1.82
106,DON076,YJM2,-34.19665,116.26281,SJ,2.17
107,DON076,YJM3,-34.19492,116.2721,SJ,1.9
108,DON076,YJM4,-34.19699,116.28139,SJ,1.5
109,DON076,YJM5,-34.1981,116.29159,SJ,1.83
110,DON076,YJM6,-34.20808,116.2947,SJ,2.28
