"","id","Veg.Type","BURNID","OzCBI","preNBR","preNDVI","preNIR","prei35","preNDWI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"1","BWD135-MJL2","Southern Jarrah Forest","BWD135",0.8,0.44578313253012,0.578947368421053,60,39.5,-0.024390243902439,0.250661181310608,11,-3.5,0.137770897832817,0.130782169890664,0.173254149619684,"M","H",1
"2","BWD135-MJL1","Southern Jarrah Forest","BWD135",1.2,0.526881720430108,0.632183908045977,71,38.5,0.0757575757575758,0.0824372759856631,6,1,0.0468180543874405,0.0188470066518847,0.0539552734242128,"M","U",-2
"3","BWD135-MJM1","Southern Jarrah Forest","BWD135",1.5,0.56043956043956,0.651162790697674,71,36,0.109375,0.158140709864848,10,-3,0.10685899322932,0.101110537190083,0.101278790336483,"H","M",-1
"4","BWD135-MJH5","Southern Jarrah Forest","BWD135",1.6,0.367088607594937,0.5,54,40,-0.0689655172413793,0.379434286607282,14,-9,0.188524590163934,0.247273798997937,0.277346280424276,"H","VH",1
"5","BWD135-MJM2","Southern Jarrah Forest","BWD135",1.7,0.458823529411765,0.569620253164557,62,40,-0.008,0.302197023387668,14,-4,0.157855547282204,0.164413793103448,0.207009283861481,"H","VH",1
"6","BWD135-MJH1","Southern Jarrah Forest","BWD135",2.1,0.580246913580247,0.641025641025641,64,31.5,0.132743362831858,0.396036387264457,19,-11,0.256410256410256,0.31456154465004,0.250458283183462,"VH","VH",0
"7","BWD135-MJCS2","Southern Jarrah Forest","BWD135",2.2,0.487179487179487,0.589041095890411,58,34.5,0.0357142857142857,0.46015246015246,20,-7,0.278696268304204,0.283239038189533,0.309204947465427,"VH","VH",0
"8","BWD135-MJH2","Southern Jarrah Forest","BWD135",2.3,0.493975903614458,0.58974358974359,62,38,0.0163934426229508,0.493975903614458,22,-9,0.299421009098428,0.302107728337237,0.330423990393527,"VH","VH",0
"9","BWD135-MJH9","Southern Jarrah Forest","BWD135",2.3,0.590361445783133,0.65,66,31.5,0.147826086956522,0.444019982368498,19,-16.5,0.307142857142857,0.364492753623188,0.279018939126045,"VH","VH",0
"10","BWD135-MJCS1","Southern Jarrah Forest","BWD135",2.5,0.525,0.605263157894737,61,33,0.0892857142857143,0.565,25,-10,0.319548872180451,0.383403361344538,0.370249017038008,"VH","VH",0
"11","BWD135-MJCS9","Southern Jarrah Forest","BWD135",2.5,0.566265060240964,0.645569620253165,65,32,0.130434782608696,0.529228023203927,23,-15,0.333069620253165,0.393592677345538,0.337676144660916,"VH","VH",0
"12","BWD135-MJCB10","Southern Jarrah Forest","BWD135",2.5,0.486486486486487,0.571428571428571,55,33,0.0377358490566038,0.486486486486487,19,-10,0.262337662337662,0.338706722843012,0.327052709995094,"VH","VH",0
"13","BWD135-MJCS5","Southern Jarrah Forest","BWD135",2.6,0.41025641025641,0.549295774647887,55,37.5,-0.0350877192982456,0.515519568151147,21,-6,0.290036515388628,0.291644953969081,0.365291214555038,"VH","VH",0
"14","BWD135-MJL7","Southern Jarrah Forest","BWD135",1.3,0.608695652173913,0.681818181818182,74,33,0.174603174603175,0.213346814964611,14,-8.5,0.16283084004603,0.206861239119304,0.132538604224024,"M","H",1
"15","BWD135-MJM7","Southern Jarrah Forest","BWD135",1.3,0.558139534883721,0.634146341463415,67,34.5,0.107438016528926,0.289846851956892,15,-6.5,0.169357609069048,0.203090190441969,0.185901803829577,"M","H",1
"16","BWD135-MJH7","Southern Jarrah Forest","BWD135",1.8,0.41025641025641,0.527777777777778,55,39,-0.0517241379310345,0.350015446400989,11,-5.5,0.173931623931624,0.16256157635468,0.248016904552019,"H","VH",1
"17","BWD135-MJCS7","Southern Jarrah Forest","BWD135",1.9,0.479452054794521,0.565217391304348,54,33.5,0.0188679245283019,0.516489091831558,15,-13,0.265217391304348,0.316165221825599,0.348872555621697,"H","VH",1
"18","BWD135-MJCS3","Southern Jarrah Forest","BWD135",2.2,0.48780487804878,0.584415584415584,61,36.5,0.0338983050847458,0.450767841011743,19,-10,0.292107892107892,0.283898305084746,0.302771604028137,"VH","VH",0
"19","BWD135-MJH8","Southern Jarrah Forest","BWD135",2.3,0.530864197530864,0.631578947368421,62,33.5,0.0782608695652174,0.416940146897953,18,-14,0.298245614035088,0.326124117428465,0.272178269829661,"VH","VH",0
"20","BWD135-MJH3","Southern Jarrah Forest","BWD135",2.3,0.428571428571429,0.558441558441558,60,40,-0.024390243902439,0.30952380952381,13,-7,0.196122717861848,0.185693789711006,0.216515106092402,"VH","VH",0
"21","BWD135-MJH10","Southern Jarrah Forest","BWD135",2.3,0.585365853658537,0.666666666666667,65,30,0.160714285714286,0.37548931044866,16,-14.5,0.266666666666667,0.323107448107448,0.236697801823389,"VH","H",-1
"22","BWD135-MJM4","Southern Jarrah Forest","BWD135",2.5,0.566265060240964,0.625,65,33,0.120689655172414,0.662155471199868,32,-7.5,0.330882352941176,0.433189655172414,0.42249105655304,"VH","VH",0
"23","BWD135-MJCS4","Southern Jarrah Forest","BWD135",2.6,0.481481481481481,0.558441558441558,60,36.5,0.0344827586206897,0.453703703703704,23,-5.5,0.304204270305965,0.287008011145942,0.306043420691034,"VH","VH",0
"24","BWD135-MJCS8","Southern Jarrah Forest","BWD135",2.7,0.542168674698795,0.620253164556962,64,35,0.0756302521008403,0.528084167656542,28,-7.5,0.334538878842676,0.362758964972127,0.342207677174121,"VH","VH",0
"25","BWD135-ub94","Southern Jarrah Forest","BWD135",0,0.417721518987342,0.534246575342466,56,38.5,-0.0344827586206897,-0.0322784810126582,-2,1,-0.0124200913242009,-0.0344827586206897,-0.0227518089918718,"U","U",0
"26","BWD135-ub95","Southern Jarrah Forest","BWD135",0,0.609756097560976,0.65,66,31,0.157894736842105,-0.0414066931366989,-5,2,-0.0404761904761904,-0.0662431941923775,-0.0257063705668396,"U","L",1
"27","BWD135-ub96","Southern Jarrah Forest","BWD135",0,0.431818181818182,0.536585365853659,63,41,0,-0.0737997957099081,-4,1,-0.0398852223816355,-0.0387596899224806,-0.0515067415017441,"U","U",0
"28","BWD135-ub97","Southern Jarrah Forest","BWD135",0,0.536585365853659,0.615384615384615,63,34,0.0862068965517241,-0.00558330884513658,-1,1,-0.00486854917234658,-0.0268365817091454,-0.00363121877271299,"U","U",0
"29","BWD135-ub98","Southern Jarrah Forest","BWD135",0,0.563218390804598,0.658536585365854,68,31.5,0.162393162393162,-0.00981531706057082,-2,-1.5,0.0114777618364419,0.00536836900473264,-0.00627490196910551,"U","U",0
"30","DON107-MSJU1","Southern Jarrah Forest","DON107",0.8,0.479166666666667,0.543478260869565,71,44.5,0.0215827338129496,0.139880952380952,10,-12.5,0.167331471878739,0.0538407983290787,0.0945035147264626,"M","H",1
"31","DON107-MSJL1","Southern Jarrah Forest","DON107",1.4,0.485148514851485,0.530612244897959,75,49.5,-0.00662251655629139,0.163719943422914,15,-8,0.160241874527589,0.0385387737662893,0.110163918199841,"M","H",1
"32","DON107-MJL3","Southern Jarrah Forest","DON107",1.9,0.575757575757576,0.608247422680412,78,40,0.122302158273381,0.287621982537237,21,-24,0.297902595094205,0.2237514336357,0.182413572612166,"H","H",0
"33","DON107-MSJM1","Southern Jarrah Forest","DON107",2.1,0.484536082474227,0.548387096774194,72,45,0.0212765957446809,0.250891222661143,23,-15,0.25426944971537,0.149481723949809,0.168889349522411,"VH","H",-1
"34","DON107-MJH3","Southern Jarrah Forest","DON107",2.3,0.628318584070796,0.672727272727273,92,39,0.210526315789474,0.508318584070796,50,-26,0.445004500450045,0.480091533180778,0.311982315208595,"VH","VH",0
"35","DON107-MSJH1","Southern Jarrah Forest","DON107",2.3,0.377777777777778,0.493975903614458,62,47,-0.0814814814814815,0.342483660130719,19,-20,0.298099614954664,0.241595441595442,0.248396562267425,"VH","VH",0
"36","DON099-TBSJU10","Southern Jarrah Forest","DON099",0.1,0.604651162790698,0.623529411764706,69,32.5,0.169491525423729,-0.0203488372093024,4,3.5,0.057264351523742,-0.0686037126715093,-0.012673261590603,"L","U",-1
"37","DON099-TBSJU1","Southern Jarrah Forest","DON099",0.2,0.576470588235294,0.634146341463415,67,33,0.135593220338983,-0.0858670741023683,3,6.5,0.0538994278831677,-0.144406779661017,-0.0544333914957028,"L","U",-1
"38","DON099-TbSJHU9","Southern Jarrah Forest","DON099",0.2,0.459459459459459,0.542857142857143,54,34.5,0.00934579439252336,0.0681551116333725,6,-1,0.13109243697479,0.0396488246955537,0.0466668973191477,"L","U",-1
"39","DON099-TBSJU6","Southern Jarrah Forest","DON099",0.4,0.555555555555556,0.615384615384615,63,32.5,0.115044247787611,0.105555555555556,5,-5,0.128205128205128,0.0884955752212389,0.0678135484331501,"L","U",-1
"40","DON099-TBSJU2","Southern Jarrah Forest","DON099",0.6,0.591397849462366,0.608695652173913,74,37,0.138461538461538,0.0565141285321331,8,0.5,0.0738119312436806,0.0292178409825469,0.0354899553219152,"M","U",-2
"41","DON099-TBSJU5","Southern Jarrah Forest","DON099",0.8,0.51219512195122,0.58974358974359,62,35,0.0689655172413793,0.13719512195122,18,2.5,0.192918192918193,0.0911877394636015,0.0906658500024178,"M","H",1
"42","DON099-TVSJ06","Southern Jarrah Forest","DON099",1.2,0.5,0.565217391304348,72,42.5,0.0510948905109489,0.0777777777777778,8,1,0.0593350383631713,0.035221874637933,0.0518173069805315,"M","U",-2
"43","DON099-TBSJL9","Southern Jarrah Forest","DON099",1.3,0.517241379310345,0.609756097560976,66,36,0.0819672131147541,0.111835973904939,14,-0.5,0.1850985633144,0.0819672131147541,0.0736615240692099,"M","H",1
"44","DON099-TBSJU4","Southern Jarrah Forest","DON099",1.3,0.532467532467532,0.573333333333333,59,32,0.102803738317757,0.0555444555444555,11,3,0.118787878787879,0.0118946474086661,0.0362214747742835,"M","U",-2
"45","DON099-TBSJU8","Southern Jarrah Forest","DON099",1.4,0.573033707865168,0.590909090909091,70,37,0.111111111111111,0.0665402013716621,12,3,0.0844155844155845,0.0269989615784008,0.0422736826023308,"M","U",-2
"46","DON099-TBSJL2b","Southern Jarrah Forest","DON099",1.4,0.555555555555556,0.594936708860759,63,32.5,0.125,0.145719489981785,20,1.5,0.229857343781394,0.113235294117647,0.0936166328671615,"M","H",1
"47","DON099-TBSJM9","Southern Jarrah Forest","DON099",1.7,0.543478260869565,0.613636363636364,71,36.5,0.118110236220472,0.280320366132723,23,-4.5,0.261523687580026,0.220913974538229,0.181498421334139,"H","H",0
"48","DON099-TBSJL8","Southern Jarrah Forest","DON099",1.7,0.565217391304348,0.6,72,38,0.107692307692308,0.126193001060445,13,-3,0.160975609756098,0.107692307692308,0.0805718297862544,"H","H",0
"49","DON099-TBSJL10","Southern Jarrah Forest","DON099",1.8,0.609756097560976,0.62962962962963,66,31,0.168141592920354,0.247437256981265,19,-6,0.26731078904992,0.218646643425404,0.153615595406367,"H","H",0
"50","DON099-TBSJM1","Southern Jarrah Forest","DON099",1.8,0.533333333333333,0.586206896551724,69,39,0.0697674418604651,0.163470319634703,19,0,0.234855545200373,0.108228980322004,0.106541594374128,"H","H",0
"51","DON099-TBSJL2","Southern Jarrah Forest","DON099",1.8,0.578947368421053,0.612903225806452,75,38.5,0.119402985074627,0.188703465982028,18,-4.5,0.205495818399044,0.161419791797316,0.119436551972369,"H","H",0
"52","DON099-TBSJL4","Southern Jarrah Forest","DON099",1.8,0.560975609756098,0.620253164556962,64,32,0.132743362831858,0.172086720867209,14,-4.5,0.268901813205611,0.122642352730848,0.110172476312918,"H","H",0
"53","DON099-TBSJM4","Southern Jarrah Forest","DON099",1.8,0.580246913580247,0.6,64,33,0.12280701754386,0.227305737109659,18,-5.5,0.304225352112676,0.184031507339778,0.143750944370222,"H","H",0
"54","DON099-TBSJM2b","Southern Jarrah Forest","DON099",2,0.5,0.586206896551724,69,39,0.0697674418604651,0.22093023255814,14,-9.5,0.211206896551724,0.203625709577001,0.147188695908154,"H","H",0
"55","DON099-TBSJM10","Southern Jarrah Forest","DON099",2,0.594936708860759,0.657894736842105,63,28.5,0.177570093457944,0.289381153305204,16,-13,0.387624466571835,0.264948734234643,0.181323702687292,"H","H",0
"56","DON099-TBSJL1","Southern Jarrah Forest","DON099",2,0.522727272727273,0.576470588235294,67,38,0.072,0.0861075544174136,16,4,0.139850869925435,0.0416969696969697,0.0565111329032605,"H","U",-3
"57","DON099-TBSJL5","Southern Jarrah Forest","DON099",2,0.581395348837209,0.6,68,35.5,0.114754098360656,0.221395348837209,17,-6,0.24,0.187481371087928,0.139911526534691,"H","H",0
"58","DON099-TBSJM8","Southern Jarrah Forest","DON099",2.1,0.595959595959596,0.645833333333333,79,37,0.161764705882353,0.305637015314435,39,0.5,0.395833333333333,0.262888301387971,0.191386817855452,"VH","H",-1
"59","DON099-TBSJH2","Southern Jarrah Forest","DON099",2.2,0.575757575757576,0.608247422680412,78,38.5,0.147058823529412,0.386568386568387,34,-5.5,0.351104565537555,0.316870144284129,0.245166658788783,"VH","VH",0
"60","DON099-TBSJM2","Southern Jarrah Forest","DON099",2.2,0.531914893617021,0.582417582417582,72,38.5,0.107692307692308,0.326786688488816,25,-8.5,0.329084249084249,0.275833900612662,0.213179929198639,"VH","VH",0
"61","DON099-TBSJM6","Southern Jarrah Forest","DON099",2.2,0.56701030927835,0.617021276595745,76,38.5,0.125925925925926,0.31701030927835,26,-9.5,0.318319977894446,0.285589791472144,0.202173612891773,"VH","VH",0
"62","DON099-TBSJH4","Southern Jarrah Forest","DON099",2.2,0.538461538461538,0.621621621621622,60,31.5,0.100917431192661,0.369230769230769,22,-5.5,0.375719982277359,0.246984846922998,0.239844101334133,"VH","VH",0
"63","DON099-TBSJH5","Southern Jarrah Forest","DON099",2.3,0.56043956043956,0.595505617977528,71,37.5,0.109375,0.413772893772894,28,-10,0.3669341894061,0.334600225225225,0.264994498830562,"VH","VH",0
"64","DON099-TBSJH9","Southern Jarrah Forest","DON099",2.3,0.541666666666667,0.608695652173913,74,40.5,0.0802919708029197,0.375,32,-3.5,0.354964308890331,0.28029197080292,0.243085566119274,"VH","VH",0
